id,title,subtitle,authors,publisher,published_date,description,categories,page_count,average_rating,ratings_count,language,isbn_10,isbn_13,info_link,buy_link,retail_price,currency_code,thumbnail_link,is_ebook,genre
k5lNDwAAQBAJ,Client Psychology,,Cfp Board,John Wiley & Sons,2018-02-19,"A Client-Centered approach to Financial Planning Practice built by Research for Practitioners The second in the CFP Board Center for Financial Planning Series, Client Psychology explores the biases, behaviors, and perceptions that impact client decision-making and overall financial well-being. This book, written for practitioners, researchers, and educators, outlines the theory behind many of these areas while also explicitly stating how these related areas directly impact financial planning pra",Business & Economics,340,,0,en,1119440904,9781119440901,https://play.google.com/store/books/details?id=k5lNDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=k5lNDwAAQBAJ&rdid=book-k5lNDwAAQBAJ&rdot=1&source=gbs_api,30,USD,,True,Psychology
SVfSHgAACAAJ,Internships In Psychology,The APAGS Workbook for Writing Successful Applications and Finding the Right Match,"Carol Williams-Nickelson, Mitchell J. Prinstein",Amer Psychological Assn,2005-01-01,"Designed specifically for doctoral-level psychology graduate students, this volume will act as a personal mentor with step-by-step instructions to land an internship placement. This resource is just one of several services provided for students by the American Psychological Association of Graduate Students.",Reference,140,,0,en,1591472091,9781591472094,http://books.google.com/books?id=SVfSHgAACAAJ&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
3aZ-DwAAQBAJ,A Degree In A Book: Psychology,Everything You Need to Know to Master the Subject - in One Book!,Alan Porter,Arcturus Publishing,2018-12-15,"A perfect introduction for students and laypeople alike, A Degree in a Book: Psychology provides you with all the concepts you need to understand the fundamental issues. Filled with helpful diagrams, suggestions for further reading, and easily digestible features on the history of psychology, this book makes understanding the human mind easier than ever. Including the theories of Francis Galton, Sigmund Freud, Ivan Pavlov, and many more, it covers the whole range of psychological research. By th",Psychology,357,,0,en,1789504333,9781789504330,https://play.google.com/store/books/details?id=3aZ-DwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=3aZ-DwAAQBAJ&rdid=book-3aZ-DwAAQBAJ&rdot=1&source=gbs_api,8.99,USD,,True,Psychology
2wBFLrX4jzMC,Internationalizing The History Of Psychology,,Adrian C. Brock,NYU Press,2006-10,"View the Table of Contents. Read the Introduction.A welcome corrective to the texts that place North America at the center of the intellectual universe. The volume uses an international perspective to illuminate important topics for all countries, including psychology's relation to liberal democracy, the psychologizing of social relations, and psychology's role in cultural imperialism.... An illuminating guide to the history of psychology. --Benjamin Harris, University of New HampshireThe histor",History,268,,0,en,0814799442,9780814799444,http://books.google.com/books?id=2wBFLrX4jzMC&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
UtOPgzHhVtsC,An Introduction To Psychology Of Religion,,Robert W. Crapps,Mercer University Press,1986,"Developed in almost thirty years of classroom experience, this book is designed to introduce students and other readers to the psychological study of religion. Robert W. Crapps deals with the major questions and figures that have dominated the psychological study of religion over the past century, dividing the discussion into four parts. Two chapters in part one suggest the problems and possibilities for the psychological study of religion in light of the nature of religion and the scientific me",Religion,432,,0,en,0865541957,9780865541955,https://play.google.com/store/books/details?id=UtOPgzHhVtsC&source=gbs_api,https://play.google.com/store/books/details?id=UtOPgzHhVtsC&rdid=book-UtOPgzHhVtsC&rdot=1&source=gbs_api,15.98,USD,,True,Psychology
uWnoIICUSdoC,Organizational Psychology,A Scientist-Practitioner Approach,Steve M. Jex,John Wiley & Sons,2002-11-08,"A comprehensive treatment of the science and practice of organizational psychology Following a scientist-practitioner model, Organizational Psychology explores the practical implications of the current research in the field, expertly integrating multicultural and international issues. Beginning with a foundation of research methodology, author Steve Jex examines the behavior of individuals in organizational settings. Drawing on his experiences as a consultant and educator, he uses actual cases t",Psychology,554,5,1,en,0471219053,9780471219057,http://books.google.com/books?id=uWnoIICUSdoC&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
rdi8QgAACAAJ,Career Paths In Psychology,Where Your Degree Can Take You,Robert J. Sternberg,Amer Psychological Assn,1997-01,"As Career Paths in Psychology shows, the range of work that psychologists find themselves doing goes far beyond the traditional laboratory researcher or the individual therapist. Psychologists work in all areas of education, in government, with private companies, and in communities. They supply research on immunization programmes, suggest improvements to airplane cockpit design, conduct studies on why peope buy what they buy, and design community programmes for reducing crime in neighbourhoods.",Business & Economics,297,,0,en,1557984115,9781557984111,http://books.google.com/books?id=rdi8QgAACAAJ&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
HtdwZDroKxQC,"Handbook Of Adolescent Psychology, Volume 1",Individual Bases of Adolescent Development,"Richard M. Lerner, Laurence Steinberg",John Wiley & Sons,2009-04-06,"The study of and interest in adolescence in the field of psychology and related fields continues to grow, necessitating an expanded revision of this seminal work. This multidisciplinary handbook, edited by the premier scholars in the field, Richard Lerner and Laurence Steinberg, and with contributions from the leading researchers, reflects the latest empirical work and growth in the field.",Psychology,801,2,1,en,0470149213,9780470149218,http://books.google.com/books?id=HtdwZDroKxQC&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
5sJ1DwAAQBAJ,The Psychology Of Habit,"Theory, Mechanisms, Change, and Contexts",Bas Verplanken,Springer,2018-10-30,"This unique reference explores the processes and nuances of human habits through social psychology and behavioral lenses. It provides a robust definition and theoretical framework for habit as well as up-to-date information on habit measurement, addressing such questions as which mechanisms are involved in habitual action and whether people can report accurately on their own habits. Specialized chapters pay close attention to how habits can be modified, as well as widely varying manifestations o",Psychology,413,,0,en,3319975293,9783319975290,https://play.google.com/store/books/details?id=5sJ1DwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=5sJ1DwAAQBAJ&rdid=book-5sJ1DwAAQBAJ&rdot=1&source=gbs_api,191.2,USD,,True,Psychology
7NjVBQAAQBAJ,The Psychology Of Physical Symptoms,,J.W. Pennebaker,Springer Science & Business Media,2012-12-06,"Physical symptoms are fascinating phenomena to examine. We all experience them, use them as signals to guide our behavior, and usually assume that they accurately represent underlying physiological activity. At the same time, we implicitly know that bodily sensations are often vague, ambiguous, and subject to a variety of interpretations. It is not surprising, then, that there is often a disparity between what we think is going on in our bodies and what is objectively occurring. In short, phenom",Psychology,200,5,1,en,1461381967,9781461381969,https://play.google.com/store/books/details?id=7NjVBQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=7NjVBQAAQBAJ&rdid=book-7NjVBQAAQBAJ&rdot=1&source=gbs_api,70.19,USD,,True,Psychology
Y1SvugEACAAJ,Psychology,,Rose M Spielman,,2018-08,"The images in this textbook are in color. There is a less-expensive non-color version available - search for ISBN 9781680922363. Psychology is designed to meet scope and sequence requirements for the single-semester introduction to psychology course. The book offers a comprehensive treatment of core concepts, grounded in both classic studies and current and emerging research. The text also includes coverage of the DSM-5 in examinations of psychological disorders. Psychology incorporates discussi",Education,754,,0,en,1680922378,9781680922370,http://books.google.com/books?id=Y1SvugEACAAJ&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
